"num";"name";"slug";"uri";"name_russian";"name_kazakh";"user_russian";"user_kazakh";"duration_russian";"duration_kazakh";"scenes_russian";"scenes_kazakh";"completed_russian";"completed_kazakh";"voice_russian";"voice_kazakh";"celebrity_house";"program_no";"num_in_program";"comp_russian";"comp_kazakh";"mix_russian";"mix_kazakh";"seq_russian";"seq_kazakh"
"115";"Георг Симон Ом";"georg-simon-om";"http://aroslanov.com/api/celebrity/georg-simon-om";"Георг Симон Ом";"";"Дария Ибрагимова";"";"82615";"0";"8";"0";"false";"false";"0";"0";"";"";"";"";"";"";"";"";""
"116";"Герберт Уэллс";"gerbert-uells";"http://aroslanov.com/api/celebrity/gerbert-uells";"Герберт Уэллс";"";"Сергей Ким";"Майра Тургинбаева";"79950";"80483";"8";"8";"true";"true";"0";"0";"";"";"";"";"";"";"";"";""
"117";"Герман Гельмгольц";"german-gelmgolc";"http://aroslanov.com/api/celebrity/german-gelmgolc";"Герман Гельмгольц";"";"Наталья Няшина";"";"81016";"0";"8";"0";"true";"false";"0";"0";"";"";"";"";"";"";"";"";""
"118";"Геродот";"gerodot";"http://aroslanov.com/api/celebrity/gerodot";"Геродот";"";"Ирина Староверова";"";"80483";"0";"8";"0";"false";"false";"0";"0";"";"";"";"";"";"";"";"";""
"119";"Герон Александрийский";"geron-aleksandrijskij";"http://aroslanov.com/api/celebrity/geron-aleksandrijskij";"Герон Александрийский";"";"Сергей Ким";"Майра Тургинбаева";"78351";"79417";"8";"8";"true";"true";"0";"0";"";"";"";"";"";"";"";"";""
"120";"Гипатия Александрийская";"gipatiya-aleksandrijskaya";"http://aroslanov.com/api/celebrity/gipatiya-aleksandrijskaya";"Гипатия Александрийская";"";"Ирина Староверова";"Майра Тургинбаева";"77818";"77285";"9";"9";"true";"true";"0";"0";"";"";"";"";"";"";"";"";""
"121";"Гиппарх";"gipparh";"http://aroslanov.com/api/celebrity/gipparh";"Гиппарх";"";"Дария Ибрагимова";"Зоя Койшыбаева";"81016";"82082";"8";"8";"true";"true";"0";"0";"";"";"";"";"";"";"";"";""
"122";"Гиппократ";"gippokrat";"http://aroslanov.com/api/celebrity/gippokrat";"Гиппократ";"";"Сергей Ким";"Майра Тургинбаева";"79950";"79950";"8";"8";"true";"true";"0";"0";"";"";"";"";"";"";"";"";""
"123";"Гней Помпей";"gnej-pompej";"http://aroslanov.com/api/celebrity/gnej-pompej";"Гней Помпей";"";"Лия Будиянская";"";"80483";"0";"9";"0";"true";"false";"0";"0";"";"";"";"";"";"";"";"";""
"124";"Гомер";"gomer";"http://aroslanov.com/api/celebrity/gomer";"Гомер";"";"Лия Будиянская";"Майра Тургинбаева";"80483";"77285";"9";"9";"true";"true";"0";"0";"";"";"";"";"";"";"";"";""
"125";"Готлиб Даймлер";"gotlib-dajmler";"http://aroslanov.com/api/celebrity/gotlib-dajmler";"Готлиб Даймлер";"";"Дария Ибрагимова";"Майра Тургинбаева";"81549";"79417";"8";"8";"true";"true";"0";"0";"";"";"";"";"";"";"";"";""
"126";"Готфрид Вильгельм Лейбниц";"gotfrid-vilgelm-lejbnic";"http://aroslanov.com/api/celebrity/gotfrid-vilgelm-lejbnic";"Готфрид Вильгельм Лейбниц";"";"Лия Будиянская";"";"81016";"0";"9";"0";"true";"false";"0";"0";"";"";"";"";"";"";"";"";""
"127";"Грегор Иоганн Мендель";"gregor-iogann-mendel";"http://aroslanov.com/api/celebrity/gregor-iogann-mendel";"Грегор Иоганн Мендель";"";"Лия Будиянская";"Майра Тургинбаева";"81549";"81549";"8";"8";"true";"true";"0";"0";"";"";"";"";"";"";"";"";""
"128";"Григорий Потанин";"grigorij-potanin";"http://aroslanov.com/api/celebrity/grigorij-potanin";"Григорий Потанин";"";"Ирина Староверова";"Майра Тургинбаева";"80483";"81549";"9";"9";"true";"true";"0";"0";"";"";"";"";"";"";"";"";""
"129";"Гульельмо Маркони";"gulelmo-markoni";"http://aroslanov.com/api/celebrity/gulelmo-markoni";"Гульельмо Маркони";"";"Лия Будиянская";"Майра Тургинбаева";"82615";"79950";"8";"8";"true";"true";"0";"0";"";"";"";"";"";"";"";"";""
